review_id,product_id,product_name,customer_id,rating,review_text,review_date
R00038,P0004,승승 고속충전 보조배터리 20000mAh,C0178,4,재구매 의사 있어요,2025-11-08
R00039,P0003,승승 스마트워치 Fit 5,C0152,5,튼튼하고 오래 쓸 것 같아요,2025-08-30
R00040,P0028,리빙 4계절 차렵이불 퀸,C0058,5,포장이 꼼꼼했어요,2025-08-08
R00041,P0020,뷰티풀 비타민C 세럼 30ml,C0134,4,재구매 의사 있어요,2026-05-21
R00042,P0032,리빙 스테인리스 텀블러 500ml,C0165,3,그럭저럭 쓸만해요,2024-08-16
R00043,P0025,승승 현미 잡곡 10kg,C0124,5,디자인이 예뻐요,2025-03-07
R00044,P0035,스포라이프 등산 스틱 한쌍,C0193,1,배송이 너무 느렸어요,2024-08-08
R00045,P0039,북하우스 어린이 그림책 10권,C0093,4,포장이 꼼꼼했어요,2025-07-20
R00046,P0021,뷰티풀 자외선차단 선크림 SPF50,C0197,5,배송이 정말 빨라요,2024-04-02
R00047,P0006,승승 기계식 게이밍 키보드,C0155,5,배송이 정말 빨라요,2024-07-19
R00048,P0026,승승 콜드브루 스틱 30개입,C0031,4,재구매 의사 있어요,2024-06-27
R00049,P0013,장구 전기포트 1.7L 온도조절,C0001,3,보통이에요,2024-10-18
R00050,P0035,스포라이프 등산 스틱 한쌍,C0042,4,튼튼하고 오래 쓸 것 같아요,2024-05-25
R00051,P0004,승승 고속충전 보조배터리 20000mAh,C0058,4,디자인이 예뻐요,2024-07-25
R00052,P0016,승승 슬림핏 청바지,C0050,4,배송이 정말 빨라요,2025-07-19
R00053,P0030,리빙 대용량 식기건조대,C0067,3,그럭저럭 쓸만해요,2025-08-29
R00054,P0036,스포라이프 러닝화 클라우드,C0100,4,포장이 꼼꼼했어요,2025-05-19
R00055,P0037,북하우스 베스트셀러 소설 세트,C0197,5,배송이 정말 빨라요,2024-07-30
R00056,P0016,승승 슬림핏 청바지,C0151,5,포장이 꼼꼼했어요,2024-08-13
R00057,P0004,승승 고속충전 보조배터리 20000mAh,C0059,1,생각보다 별로예요,2024-02-13
R00058,P0033,스포라이프 요가매트 10mm,C0047,5,선물용으로 좋아요,2024-04-27
R00059,P0002,승승 노이즈캔슬링 헤드폰 Pro,C0037,5,선물용으로 좋아요,2025-02-04
R00060,P0040,북하우스 자기계발 다이어리 2026,C0098,4,가성비 최고입니다,2024-02-08
R00061,P0033,스포라이프 요가매트 10mm,C0144,3,무난합니다,2024-03-11
R00062,P0030,리빙 대용량 식기건조대,C0135,1,금방 고장났어요,2025-10-21
R00063,P0015,승승 경량 패딩 점퍼,C0117,5,가성비 최고입니다,2024-04-10
R00064,P0024,승승 유기농 견과류 믹스 1kg,C0150,2,금방 고장났어요,2024-03-31
R00065,P0029,리빙 극세사 베개 2개세트,C0119,3,특별할 건 없네요,2025-04-03
R00066,P0031,리빙 친환경 주방세제 리필 5L,C0138,5,포장이 꼼꼼했어요,2025-11-03
R00067,P0030,리빙 대용량 식기건조대,C0094,5,디자인이 예뻐요,2026-03-17
R00068,P0015,승승 경량 패딩 점퍼,C0081,5,튼튼하고 오래 쓸 것 같아요,2025-02-19
R00069,P0012,장구 초고속 블렌더 1200W,C0130,4,재구매 의사 있어요,2024-05-22
R00070,P0023,승승 프리미엄 원두커피 1kg,C0059,1,배송이 너무 느렸어요,2024-07-01
R00071,P0013,장구 전기포트 1.7L 온도조절,C0095,3,무난합니다,2026-03-16
R00072,P0004,승승 고속충전 보조배터리 20000mAh,C0015,1,박스가 찌그러져 왔어요,2024-03-30
R00073,P0015,승승 경량 패딩 점퍼,C0097,3,무난합니다,2025-11-25
R00074,P0007,승승 4K 웹캠 스트리머,C0089,4,배송이 정말 빨라요,2024-06-08
R00075,P0028,리빙 4계절 차렵이불 퀸,C0120,2,금방 고장났어요,2024-05-27
R00076,P0040,북하우스 자기계발 다이어리 2026,C0039,3,보통이에요,2026-01-18
R00077,P0002,승승 노이즈캔슬링 헤드폰 Pro,C0090,5,재구매 의사 있어요,2024-10-26
R00078,P0014,승승 데일리 코튼 후드티,C0072,4,재구매 의사 있어요,2024-10-11
R00079,P0002,승승 노이즈캔슬링 헤드폰 Pro,C0145,4,재구매 의사 있어요,2024-06-02
R00080,P0036,스포라이프 러닝화 클라우드,C0157,4,포장이 꼼꼼했어요,2024-02-07
R00081,P0040,북하우스 자기계발 다이어리 2026,C0154,3,특별할 건 없네요,2026-01-19
R00082,P0005,승승 USB-C 멀티허브 7in1,C0135,5,선물용으로 좋아요,2024-02-09
R00083,P0029,리빙 극세사 베개 2개세트,C0160,3,그럭저럭 쓸만해요,2025-02-07
R00084,P0024,승승 유기농 견과류 믹스 1kg,C0161,2,금방 고장났어요,2025-04-26
R00085,P0013,장구 전기포트 1.7L 온도조절,C0162,4,가성비 최고입니다,2025-01-08
R00086,P0034,스포라이프 조절식 덤벨 24kg,C0058,5,재구매 의사 있어요,2024-05-13
R00087,P0012,장구 초고속 블렌더 1200W,C0034,5,튼튼하고 오래 쓸 것 같아요,2024-07-15
R00088,P0038,북하우스 코딩 입문 자습서,C0127,5,배송이 정말 빨라요,2024-01-18
R00089,P0009,장구 무선 핸디 청소기,C0157,2,박스가 찌그러져 왔어요,2026-03-03
R00090,P0004,승승 고속충전 보조배터리 20000mAh,C0184,5,튼튼하고 오래 쓸 것 같아요,2024-03-10
R00091,P0001,승승 무선 블루투스 이어버드 SE,C0127,3,무난합니다,2025-05-14
R00092,P0019,뷰티풀 수분 진정 토너 300ml,C0001,1,가격에 비해 아쉬워요,2024-05-18
R00093,P0009,장구 무선 핸디 청소기,C0198,5,포장이 꼼꼼했어요,2024-03-05
R00094,P0009,장구 무선 핸디 청소기,C0019,4,포장이 꼼꼼했어요,2025-11-19
R00095,P0001,승승 무선 블루투스 이어버드 SE,C0016,4,튼튼하고 오래 쓸 것 같아요,2024-05-19
R00096,P0004,승승 고속충전 보조배터리 20000mAh,C0146,5,포장이 꼼꼼했어요,2025-08-09
R00097,P0003,승승 스마트워치 Fit 5,C0020,3,무난합니다,2026-05-13
R00098,P0021,뷰티풀 자외선차단 선크림 SPF50,C0078,5,재구매 의사 있어요,2024-05-15
R00099,P0002,승승 노이즈캔슬링 헤드폰 Pro,C0191,1,환불 절차가 불편했어요,2025-03-27
R00100,P0029,리빙 극세사 베개 2개세트,C0047,5,배송이 정말 빨라요,2025-08-28
R00101,P0027,승승 단백질 쉐이크 2kg,C0103,3,무난합니다,2026-03-07
R00102,P0022,뷰티풀 콜라겐 수분크림,C0080,2,생각보다 별로예요,2026-05-12
R00103,P0031,리빙 친환경 주방세제 리필 5L,C0052,5,디자인이 예뻐요,2025-08-14
R00104,P0030,리빙 대용량 식기건조대,C0011,5,재구매 의사 있어요,2024-08-08
R00105,P0020,뷰티풀 비타민C 세럼 30ml,C0054,4,품질이 기대 이상이에요,2025-05-07
R00106,P0030,리빙 대용량 식기건조대,C0076,4,재구매 의사 있어요,2025-05-15
R00107,P0038,북하우스 코딩 입문 자습서,C0123,4,포장이 꼼꼼했어요,2025-02-15
R00108,P0022,뷰티풀 콜라겐 수분크림,C0120,5,선물용으로 좋아요,2024-08-11
R00109,P0010,장구 공기청정기 미세 30평형,C0045,3,무난합니다,2025-10-15
R00110,P0032,리빙 스테인리스 텀블러 500ml,C0023,5,가성비 최고입니다,2026-03-17
R00111,P0033,스포라이프 요가매트 10mm,C0023,5,가성비 최고입니다,2026-03-05
R00112,P0015,승승 경량 패딩 점퍼,C0172,5,재구매 의사 있어요,2025-09-09
R00113,P0037,북하우스 베스트셀러 소설 세트,C0043,5,품질이 기대 이상이에요,2025-10-25
R00114,P0015,승승 경량 패딩 점퍼,C0134,4,품질이 기대 이상이에요,2025-11-14
R00115,P0014,승승 데일리 코튼 후드티,C0057,5,포장이 꼼꼼했어요,2025-11-13
R00116,P0004,승승 고속충전 보조배터리 20000mAh,C0090,4,품질이 기대 이상이에요,2024-07-24
R00117,P0016,승승 슬림핏 청바지,C0018,5,재구매 의사 있어요,2024-11-19
R00118,P0008,장구 로봇청소기 CleanX,C0014,5,선물용으로 좋아요,2024-09-04
R00119,P0040,북하우스 자기계발 다이어리 2026,C0067,5,재구매 의사 있어요,2024-11-13
R00120,P0030,리빙 대용량 식기건조대,C0169,4,재구매 의사 있어요,2025-09-23
R00121,P0028,리빙 4계절 차렵이불 퀸,C0058,5,품질이 기대 이상이에요,2025-02-23
R00122,P0030,리빙 대용량 식기건조대,C0076,2,배송이 너무 느렸어요,2024-08-25
R00123,P0024,승승 유기농 견과류 믹스 1kg,C0026,4,디자인이 예뻐요,2025-08-30
R00124,P0037,북하우스 베스트셀러 소설 세트,C0190,4,배송이 정말 빨라요,2026-05-20
R00125,P0029,리빙 극세사 베개 2개세트,C0015,5,튼튼하고 오래 쓸 것 같아요,2024-08-24
R00126,P0032,리빙 스테인리스 텀블러 500ml,C0172,4,포장이 꼼꼼했어요,2026-01-12
R00127,P0033,스포라이프 요가매트 10mm,C0137,5,가성비 최고입니다,2024-04-17
R00128,P0028,리빙 4계절 차렵이불 퀸,C0114,4,배송이 정말 빨라요,2025-02-26
R00129,P0025,승승 현미 잡곡 10kg,C0128,3,보통이에요,2026-03-11
R00130,P0034,스포라이프 조절식 덤벨 24kg,C0103,5,포장이 꼼꼼했어요,2024-08-29
R00131,P0027,승승 단백질 쉐이크 2kg,C0142,2,가격에 비해 아쉬워요,2025-11-11
R00132,P0001,승승 무선 블루투스 이어버드 SE,C0006,4,포장이 꼼꼼했어요,2024-09-24
R00133,P0025,승승 현미 잡곡 10kg,C0126,5,튼튼하고 오래 쓸 것 같아요,2025-12-29
R00134,P0030,리빙 대용량 식기건조대,C0045,5,포장이 꼼꼼했어요,2024-06-11
R00135,P0007,승승 4K 웹캠 스트리머,C0092,5,배송이 정말 빨라요,2025-05-10
R00136,P0033,스포라이프 요가매트 10mm,C0076,5,포장이 꼼꼼했어요,2024-10-06
R00137,P0034,스포라이프 조절식 덤벨 24kg,C0072,5,재구매 의사 있어요,2024-04-03
R00138,P0034,스포라이프 조절식 덤벨 24kg,C0157,3,무난합니다,2024-09-14
R00139,P0005,승승 USB-C 멀티허브 7in1,C0081,5,배송이 정말 빨라요,2024-09-07
R00140,P0009,장구 무선 핸디 청소기,C0022,3,보통이에요,2024-03-28
R00141,P0029,리빙 극세사 베개 2개세트,C0158,4,포장이 꼼꼼했어요,2024-05-20
R00142,P0040,북하우스 자기계발 다이어리 2026,C0029,4,배송이 정말 빨라요,2024-12-16
R00143,P0009,장구 무선 핸디 청소기,C0083,4,가성비 최고입니다,2024-07-21
R00144,P0015,승승 경량 패딩 점퍼,C0114,5,배송이 정말 빨라요,2024-11-17
R00145,P0028,리빙 4계절 차렵이불 퀸,C0149,4,포장이 꼼꼼했어요,2025-01-17
R00146,P0016,승승 슬림핏 청바지,C0192,4,튼튼하고 오래 쓸 것 같아요,2026-04-13
R00147,P0017,승승 베이직 무지 티셔츠 3팩,C0015,4,품질이 기대 이상이에요,2024-09-13
R00148,P0030,리빙 대용량 식기건조대,C0159,2,생각보다 별로예요,2024-10-16
R00149,P0019,뷰티풀 수분 진정 토너 300ml,C0129,3,그럭저럭 쓸만해요,2024-04-24
R00150,P0009,장구 무선 핸디 청소기,C0126,1,설명과 색이 달라요,2024-10-09
R00151,P0004,승승 고속충전 보조배터리 20000mAh,C0193,4,배송이 정말 빨라요,2024-03-06
R00152,P0036,스포라이프 러닝화 클라우드,C0098,5,재구매 의사 있어요,2024-05-09
R00153,P0004,승승 고속충전 보조배터리 20000mAh,C0040,4,포장이 꼼꼼했어요,2026-04-18
R00154,P0012,장구 초고속 블렌더 1200W,C0117,5,디자인이 예뻐요,2024-09-18
R00155,P0040,북하우스 자기계발 다이어리 2026,C0129,4,배송이 정말 빨라요,2024-08-14
R00156,P0025,승승 현미 잡곡 10kg,C0001,5,디자인이 예뻐요,2026-04-07
R00157,P0011,장구 에어프라이어 5.5L,C0014,2,배송이 너무 느렸어요,2025-05-27
R00158,P0024,승승 유기농 견과류 믹스 1kg,C0186,3,그럭저럭 쓸만해요,2024-01-27
R00159,P0033,스포라이프 요가매트 10mm,C0149,5,가성비 최고입니다,2025-07-04
R00160,P0037,북하우스 베스트셀러 소설 세트,C0086,3,그럭저럭 쓸만해요,2026-05-28
R00161,P0008,장구 로봇청소기 CleanX,C0140,5,디자인이 예뻐요,2025-08-29
R00162,P0007,승승 4K 웹캠 스트리머,C0049,5,포장이 꼼꼼했어요,2024-09-17
R00163,P0003,승승 스마트워치 Fit 5,C0098,2,생각보다 별로예요,2025-07-24
R00164,P0022,뷰티풀 콜라겐 수분크림,C0120,4,재구매 의사 있어요,2026-02-12
R00165,P0022,뷰티풀 콜라겐 수분크림,C0069,3,그럭저럭 쓸만해요,2024-03-17
R00166,P0002,승승 노이즈캔슬링 헤드폰 Pro,C0166,3,보통이에요,2025-07-11
R00167,P0023,승승 프리미엄 원두커피 1kg,C0076,5,품질이 기대 이상이에요,2024-02-14
R00168,P0012,장구 초고속 블렌더 1200W,C0189,4,재구매 의사 있어요,2024-10-05
R00169,P0033,스포라이프 요가매트 10mm,C0065,2,박스가 찌그러져 왔어요,2024-09-30
R00170,P0005,승승 USB-C 멀티허브 7in1,C0168,5,배송이 정말 빨라요,2025-07-18
R00171,P0007,승승 4K 웹캠 스트리머,C0045,5,포장이 꼼꼼했어요,2024-03-07
R00172,P0030,리빙 대용량 식기건조대,C0049,5,튼튼하고 오래 쓸 것 같아요,2026-04-15
R00173,P0016,승승 슬림핏 청바지,C0137,4,배송이 정말 빨라요,2026-04-03
R00174,P0039,북하우스 어린이 그림책 10권,C0104,4,튼튼하고 오래 쓸 것 같아요,2024-10-20
R00175,P0012,장구 초고속 블렌더 1200W,C0103,5,배송이 정말 빨라요,2026-01-09
R00176,P0017,승승 베이직 무지 티셔츠 3팩,C0191,2,설명과 색이 달라요,2025-03-29
R00177,P0037,북하우스 베스트셀러 소설 세트,C0175,5,디자인이 예뻐요,2025-04-24
R00178,P0012,장구 초고속 블렌더 1200W,C0004,5,포장이 꼼꼼했어요,2026-01-30
R00179,P0016,승승 슬림핏 청바지,C0044,2,생각보다 별로예요,2026-04-04
R00180,P0009,장구 무선 핸디 청소기,C0047,2,금방 고장났어요,2025-09-23
R00181,P0012,장구 초고속 블렌더 1200W,C0153,3,그럭저럭 쓸만해요,2025-10-08
R00182,P0022,뷰티풀 콜라겐 수분크림,C0073,5,배송이 정말 빨라요,2026-03-19
R00183,P0018,승승 방수 트레킹 자켓,C0047,4,가성비 최고입니다,2024-09-28
R00184,P0031,리빙 친환경 주방세제 리필 5L,C0025,5,포장이 꼼꼼했어요,2026-01-30
R00185,P0014,승승 데일리 코튼 후드티,C0095,4,재구매 의사 있어요,2025-03-24
R00186,P0019,뷰티풀 수분 진정 토너 300ml,C0173,3,무난합니다,2025-04-30
R00187,P0011,장구 에어프라이어 5.5L,C0024,4,디자인이 예뻐요,2024-05-30
R00188,P0011,장구 에어프라이어 5.5L,C0010,5,배송이 정말 빨라요,2025-11-05
R00189,P0029,리빙 극세사 베개 2개세트,C0016,4,배송이 정말 빨라요,2024-08-01
R00190,P0029,리빙 극세사 베개 2개세트,C0002,5,품질이 기대 이상이에요,2024-07-31
R00191,P0004,승승 고속충전 보조배터리 20000mAh,C0182,3,특별할 건 없네요,2025-10-17
R00192,P0013,장구 전기포트 1.7L 온도조절,C0055,4,튼튼하고 오래 쓸 것 같아요,2025-02-16
R00193,P0021,뷰티풀 자외선차단 선크림 SPF50,C0106,2,박스가 찌그러져 왔어요,2024-06-10
R00194,P0038,북하우스 코딩 입문 자습서,C0178,5,튼튼하고 오래 쓸 것 같아요,2025-04-25
R00195,P0034,스포라이프 조절식 덤벨 24kg,C0092,5,배송이 정말 빨라요,2026-02-13
R00196,P0007,승승 4K 웹캠 스트리머,C0111,5,선물용으로 좋아요,2025-12-29
R00197,P0001,승승 무선 블루투스 이어버드 SE,C0147,4,튼튼하고 오래 쓸 것 같아요,2024-11-27
R00198,P0035,스포라이프 등산 스틱 한쌍,C0148,5,선물용으로 좋아요,2024-04-01
R00199,P0006,승승 기계식 게이밍 키보드,C0096,4,가성비 최고입니다,2025-08-25
R00200,P0013,장구 전기포트 1.7L 온도조절,C0176,3,보통이에요,2025-07-29
R00201,P0006,승승 기계식 게이밍 키보드,C0057,4,재구매 의사 있어요,2026-04-19
R00202,P0015,승승 경량 패딩 점퍼,C0050,5,튼튼하고 오래 쓸 것 같아요,2024-04-26
R00203,P0025,승승 현미 잡곡 10kg,C0161,3,특별할 건 없네요,2024-07-11
R00204,P0015,승승 경량 패딩 점퍼,C0150,1,생각보다 별로예요,2025-09-28
R00205,P0030,리빙 대용량 식기건조대,C0159,1,가격에 비해 아쉬워요,2024-07-14
R00206,P0031,리빙 친환경 주방세제 리필 5L,C0110,4,디자인이 예뻐요,2024-09-29
R00207,P0023,승승 프리미엄 원두커피 1kg,C0032,2,설명과 색이 달라요,2024-03-13
R00208,P0015,승승 경량 패딩 점퍼,C0016,3,무난합니다,2025-01-27
R00209,P0039,북하우스 어린이 그림책 10권,C0004,2,가격에 비해 아쉬워요,2024-07-23
R00210,P0038,북하우스 코딩 입문 자습서,C0051,4,선물용으로 좋아요,2024-12-17
R00211,P0019,뷰티풀 수분 진정 토너 300ml,C0194,5,디자인이 예뻐요,2025-06-27
R00212,P0011,장구 에어프라이어 5.5L,C0053,3,무난합니다,2024-02-27
R00213,P0030,리빙 대용량 식기건조대,C0140,3,특별할 건 없네요,2025-04-28
R00214,P0009,장구 무선 핸디 청소기,C0114,2,금방 고장났어요,2025-05-06
R00215,P0040,북하우스 자기계발 다이어리 2026,C0096,5,디자인이 예뻐요,2024-06-29
R00216,P0013,장구 전기포트 1.7L 온도조절,C0046,4,선물용으로 좋아요,2026-05-26
R00217,P0039,북하우스 어린이 그림책 10권,C0043,4,튼튼하고 오래 쓸 것 같아요,2026-03-25
R00218,P0024,승승 유기농 견과류 믹스 1kg,C0047,4,재구매 의사 있어요,2025-11-16
R00219,P0017,승승 베이직 무지 티셔츠 3팩,C0134,5,재구매 의사 있어요,2024-08-03
R00220,P0033,스포라이프 요가매트 10mm,C0053,5,가성비 최고입니다,2024-09-25
R00221,P0007,승승 4K 웹캠 스트리머,C0073,5,배송이 정말 빨라요,2024-05-07
R00222,P0018,승승 방수 트레킹 자켓,C0036,5,선물용으로 좋아요,2024-05-06
R00223,P0007,승승 4K 웹캠 스트리머,C0169,5,가성비 최고입니다,2024-04-07
R00224,P0013,장구 전기포트 1.7L 온도조절,C0118,5,포장이 꼼꼼했어요,2025-01-17
R00225,P0012,장구 초고속 블렌더 1200W,C0027,4,배송이 정말 빨라요,2025-11-15
R00226,P0016,승승 슬림핏 청바지,C0025,4,튼튼하고 오래 쓸 것 같아요,2024-04-13
R00227,P0016,승승 슬림핏 청바지,C0078,4,디자인이 예뻐요,2026-02-11
R00228,P0027,승승 단백질 쉐이크 2kg,C0059,4,선물용으로 좋아요,2024-09-03
R00229,P0019,뷰티풀 수분 진정 토너 300ml,C0075,5,선물용으로 좋아요,2026-04-11
R00230,P0003,승승 스마트워치 Fit 5,C0168,3,그럭저럭 쓸만해요,2026-03-05
R00231,P0035,스포라이프 등산 스틱 한쌍,C0196,4,재구매 의사 있어요,2024-07-10
R00232,P0033,스포라이프 요가매트 10mm,C0168,1,환불 절차가 불편했어요,2025-01-14
R00233,P0021,뷰티풀 자외선차단 선크림 SPF50,C0020,3,무난합니다,2024-09-16
R00234,P0039,북하우스 어린이 그림책 10권,C0067,4,재구매 의사 있어요,2024-08-28
R00235,P0039,북하우스 어린이 그림책 10권,C0125,5,가성비 최고입니다,2024-03-10
R00236,P0013,장구 전기포트 1.7L 온도조절,C0183,4,재구매 의사 있어요,2024-09-10
R00237,P0004,승승 고속충전 보조배터리 20000mAh,C0143,3,그럭저럭 쓸만해요,2025-01-08
R00238,P0025,승승 현미 잡곡 10kg,C0197,5,배송이 정말 빨라요,2024-10-25
R00239,P0008,장구 로봇청소기 CleanX,C0114,2,설명과 색이 달라요,2025-11-15
R00240,P0001,승승 무선 블루투스 이어버드 SE,C0169,4,재구매 의사 있어요,2024-08-13
R00241,P0031,리빙 친환경 주방세제 리필 5L,C0083,5,포장이 꼼꼼했어요,2025-03-19
R00242,P0016,승승 슬림핏 청바지,C0084,5,포장이 꼼꼼했어요,2024-07-17
R00243,P0013,장구 전기포트 1.7L 온도조절,C0007,4,선물용으로 좋아요,2024-08-06
R00244,P0028,리빙 4계절 차렵이불 퀸,C0132,4,품질이 기대 이상이에요,2024-05-07
R00245,P0005,승승 USB-C 멀티허브 7in1,C0071,2,가격에 비해 아쉬워요,2025-08-12
R00246,P0038,북하우스 코딩 입문 자습서,C0145,3,특별할 건 없네요,2025-06-01
R00247,P0015,승승 경량 패딩 점퍼,C0083,5,가성비 최고입니다,2026-02-28
R00248,P0023,승승 프리미엄 원두커피 1kg,C0126,4,포장이 꼼꼼했어요,2024-04-16
R00249,P0004,승승 고속충전 보조배터리 20000mAh,C0083,5,재구매 의사 있어요,2026-01-19
R00250,P0012,장구 초고속 블렌더 1200W,C0170,5,선물용으로 좋아요,2024-11-17
R00251,P0008,장구 로봇청소기 CleanX,C0011,1,생각보다 별로예요,2024-12-01
R00252,P0039,북하우스 어린이 그림책 10권,C0072,4,디자인이 예뻐요,2024-10-31
R00253,P0022,뷰티풀 콜라겐 수분크림,C0161,4,선물용으로 좋아요,2025-01-17
R00254,P0017,승승 베이직 무지 티셔츠 3팩,C0162,5,가성비 최고입니다,2026-01-20
R00255,P0015,승승 경량 패딩 점퍼,C0037,2,박스가 찌그러져 왔어요,2025-07-20
R00256,P0031,리빙 친환경 주방세제 리필 5L,C0017,3,특별할 건 없네요,2025-12-14
R00257,P0028,리빙 4계절 차렵이불 퀸,C0018,4,재구매 의사 있어요,2025-09-23
R00258,P0008,장구 로봇청소기 CleanX,C0039,2,금방 고장났어요,2024-10-05
R00259,P0020,뷰티풀 비타민C 세럼 30ml,C0019,3,보통이에요,2025-10-27
R00260,P0003,승승 스마트워치 Fit 5,C0181,5,재구매 의사 있어요,2024-05-04
R00261,P0018,승승 방수 트레킹 자켓,C0189,3,무난합니다,2024-05-30
R00262,P0032,리빙 스테인리스 텀블러 500ml,C0125,4,배송이 정말 빨라요,2025-05-03
R00263,P0022,뷰티풀 콜라겐 수분크림,C0019,5,배송이 정말 빨라요,2024-08-13
R00264,P0028,리빙 4계절 차렵이불 퀸,C0019,4,품질이 기대 이상이에요,2026-01-19
R00265,P0009,장구 무선 핸디 청소기,C0022,4,튼튼하고 오래 쓸 것 같아요,2025-10-26
R00266,P0027,승승 단백질 쉐이크 2kg,C0061,5,디자인이 예뻐요,2025-08-12
R00267,P0020,뷰티풀 비타민C 세럼 30ml,C0086,5,재구매 의사 있어요,2024-08-05
R00268,P0003,승승 스마트워치 Fit 5,C0152,3,그럭저럭 쓸만해요,2025-06-17
R00269,P0025,승승 현미 잡곡 10kg,C0159,5,재구매 의사 있어요,2024-09-02
R00270,P0033,스포라이프 요가매트 10mm,C0017,3,그럭저럭 쓸만해요,2026-04-07
R00271,P0034,스포라이프 조절식 덤벨 24kg,C0113,5,포장이 꼼꼼했어요,2025-05-14
R00272,P0028,리빙 4계절 차렵이불 퀸,C0160,2,환불 절차가 불편했어요,2025-05-12
R00273,P0024,승승 유기농 견과류 믹스 1kg,C0162,4,배송이 정말 빨라요,2024-07-05
R00274,P0024,승승 유기농 견과류 믹스 1kg,C0010,5,포장이 꼼꼼했어요,2025-07-10
R00275,P0011,장구 에어프라이어 5.5L,C0057,4,배송이 정말 빨라요,2025-01-15
R00276,P0002,승승 노이즈캔슬링 헤드폰 Pro,C0023,4,재구매 의사 있어요,2026-05-26
R00277,P0003,승승 스마트워치 Fit 5,C0088,4,디자인이 예뻐요,2026-06-08
