inquiry_id,customer_id,channel,category_hint,content,created_at
Q0036,C0007,전화,칭찬,포장도 꼼꼼하고 배송도 빨라서 정말 만족합니다. 감사합니다!,2026-05-08 15:56
Q0037,C0139,이메일,결제,무이자 할부는 몇 개월까지 되나요?,2026-05-20 12:47
Q0038,C0012,웹,배송,제주도도 무료배송 되나요? 추가요금이 붙던데요.,2026-05-25 08:37
Q0039,C0157,카카오톡,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-08 16:09
Q0040,C0056,웹,불만,주문한 상품과 다른 상품이 배송됐어요. 황당하네요.,2026-05-05 08:23
Q0041,C0093,전화,결제,무이자 할부는 몇 개월까지 되나요?,2026-05-01 13:08
Q0042,C0086,웹,상품문의,로봇청소기 CleanX는 물걸레 기능도 있나요?,2026-05-27 12:13
Q0043,C0057,전화,환불,어제 받은 에어프라이어가 작동을 안 합니다. 환불하고 싶어요.,2026-05-28 11:30
Q0044,C0082,이메일,결제,카드 결제가 두 번 청구된 것 같아요. 확인 부탁드립니다.,2026-05-18 10:53
Q0045,C0059,전화,교환,후드티 색상이 사진과 너무 달라요. 다른 색으로 교환 가능한가요?,2026-05-21 19:26
Q0046,C0175,웹,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-13 18:20
Q0047,C0105,카카오톡,칭찬,포장도 꼼꼼하고 배송도 빨라서 정말 만족합니다. 감사합니다!,2026-05-21 08:09
Q0048,C0010,웹,불만,고객센터 전화 연결이 너무 안 됩니다. 30분째 대기중이에요.,2026-05-28 11:51
Q0049,C0027,앱,배송,주소를 잘못 입력했는데 변경할 수 있을까요?,2026-05-19 10:50
Q0050,C0200,앱,교환,사이즈가 작아서 한 치수 큰 걸로 교환하고 싶습니다.,2026-05-06 12:02
Q0051,C0112,카카오톡,교환,사이즈가 작아서 한 치수 큰 걸로 교환하고 싶습니다.,2026-05-17 14:12
Q0052,C0057,앱,상품문의,로봇청소기 CleanX는 물걸레 기능도 있나요?,2026-05-07 15:25
Q0053,C0154,앱,상품문의,선크림 SPF50 유통기한이 얼마나 남았는지 알 수 있나요?,2026-05-17 10:12
Q0054,C0164,이메일,불만,고객센터 전화 연결이 너무 안 됩니다. 30분째 대기중이에요.,2026-05-02 14:12
Q0055,C0094,웹,환불,단순 변심인데 반품 배송비는 누가 부담하나요?,2026-05-08 19:54
Q0056,C0049,전화,상품문의,로봇청소기 CleanX는 물걸레 기능도 있나요?,2026-05-02 18:08
Q0057,C0009,앱,상품문의,스마트워치 Fit 5 배터리는 며칠이나 가나요?,2026-05-08 19:55
Q0058,C0178,전화,불만,고객센터 전화 연결이 너무 안 됩니다. 30분째 대기중이에요.,2026-05-08 20:41
Q0059,C0174,전화,불만,주문한 상품과 다른 상품이 배송됐어요. 황당하네요.,2026-05-13 20:42
Q0060,C0016,카카오톡,교환,후드티 색상이 사진과 너무 달라요. 다른 색으로 교환 가능한가요?,2026-05-26 16:49
